gene,vP0_1,vP0_2,vP4_1,vP4_2,vP7_1,vP7_2,vAd_1,vAd_2
ENSMUSG00000102202.2,0.313182111,0.387427062,0.062428816,0.509295232,0.175489073,0.087219736,0.169464057,0.312095193
ENSMUSG00000037470.15,99.84245687,92.31833421,93.26865042,100.7838676,86.07739015,90.97018437,88.46023772,83.01732135
ENSMUSG00000047180.9,8.894371942,5.257938699,6.679883263,6.790603096,7.984752807,5.843722294,6.213682087,5.555294436
ENSMUSG00000037447.17,11.58773809,10.12845034,8.927320623,12.05332049,13.42491406,12.12354327,7.061002372,8.364151173
ENSMUSG00000102762.2,0.313182111,0.166040169,0.249715262,0.169765077,0.087744536,0.261659207,0.112976038,0
ENSMUSG00000010453.13,119.9487484,114.8444505,101.6965405,103.4435205,95.37831101,94.11009486,82.13357959,79.7091123
ENSMUSG00000037432.16,6.075732946,4.538431298,4.869447612,4.52706873,5.089183108,4.884305201,5.874753973,7.365446555
ENSMUSG00000001143.14,39.77412805,33.76150112,30.40283317,33.38713189,31.58803308,22.76435103,35.92638007,36.39029951
ENSMUSG00000037408.11,9.520736163,7.250420732,7.928459574,8.092135356,8.862198171,7.76255648,7.569394543,8.551408289
ENSMUSG00000104316.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000001138.14,42.15431209,38.35527914,30.77740606,29.99183034,23.95425842,22.85157076,16.04259739,15.29266446
ENSMUSG00000067653.13,10.64819176,8.025274856,26.03281608,34.46231071,49.75115211,47.62197571,74.22525693,81.08233115
ENSMUSG00000109510.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000079610.10,14.34374067,12.56370615,13.42219534,13.92073635,9.213176316,9.245291988,6.213682087,5.680132513
ENSMUSG00000026121.14,41.59058429,34.4256618,33.08727224,39.55526303,36.15074897,34.80067456,17.850214,17.97668312
ENSMUSG00000087589.4,5.261459459,3.818923897,3.558442486,3.961185139,3.773015063,3.139910486,1.299224436,1.872571158
ENSMUSG00000046337.18,0.062636422,0.442773785,0.437001709,0.339530155,0.614211754,0.523318414,0.282440095,0.43693327
ENSMUSG00000089906.2,0,0,0,0.056588359,0,0,0,0
ENSMUSG00000061518.12,431.1264935,384.2169521,483.5111764,503.4666312,516.1133628,477.1791742,484.5542268,503.0350321
ENSMUSG00000037351.10,137.4869466,117.4457465,132.661233,132.3035836,125.5624315,121.6715313,110.264613,99.49594754
ENSMUSG00000102416.5,0.062636422,0.055346723,0,0.113176718,0.087744536,0,0.056488019,0.124838077
ENSMUSG00000026117.11,0.187909266,0.055346723,0.062428816,0.113176718,0.087744536,0.087219736,0,0.062419039
ENSMUSG00000026116.12,106.1060991,108.756311,104.256122,113.1201299,115.822788,100.2154764,88.06482158,68.97303766
ENSMUSG00000103016.2,0,0,0.124857631,0,0,0,0,0
ENSMUSG00000102930.2,0.250545689,0.110693446,0.312144078,0.169765077,0,0,0.056488019,0.124838077
ENSMUSG00000103159.2,0.125272844,0.442773785,0.499430524,0.056588359,0.350978145,0.348878943,0.056488019,0.062419039
ENSMUSG00000080054.4,0.250545689,0,0.062428816,0,0,0,0,0.124838077
ENSMUSG00000050122.20,0.125272844,0.166040169,0.249715262,0.056588359,0.438722682,0.174439471,0.056488019,0
ENSMUSG00000026114.15,0,0,0.437001709,0.282941796,0.789700827,0.174439471,1.016784342,0.624190386
ENSMUSG00000026113.18,37.70712612,33.7061544,34.77285026,33.27395517,35.18555907,34.71345482,37.22560451,33.89353796
ENSMUSG00000086064.2,0.062636422,0,0,0.113176718,0,0,0.112976038,0.062419039
ENSMUSG00000102879.2,0,0.055346723,0.062428816,0.056588359,0.263233609,0,0,0.062419039
ENSMUSG00000026112.8,177.5116203,150.5984337,176.8608344,161.2202352,152.4122596,151.9367796,220.190298,213.7227882
ENSMUSG00000026111.16,21.35901995,14.27945457,16.79335138,16.7501543,13.33716952,19.5372208,15.36474116,16.54104523
ENSMUSG00000026110.16,23.55129472,24.6292918,28.15539581,33.38713189,31.06156587,29.21861147,33.10197912,22.59569198
ENSMUSG00000103948.2,0,0.221386893,0.187286447,0.282941796,0.263233609,0.523318414,0.056488019,0.062419039
ENSMUSG00000087233.2,0.125272844,0,0.062428816,0.169765077,0.263233609,0.174439471,0.056488019,0
ENSMUSG00000026090.17,1.691183397,2.269215649,1.12371868,1.867415851,0.789700827,0.523318414,1.242736417,0.43693327
ENSMUSG00000089767.2,0,0,0.062428816,0.056588359,0,0,0,0
ENSMUSG00000104365.2,0,0,0,0,0,0.087219736,0,0
ENSMUSG00000060771.16,7.140552123,10.18379706,6.555025632,6.790603096,7.633774662,5.669282823,5.196897746,5.992227706
ENSMUSG00000037216.6,6.639460746,5.368632145,7.054456156,5.82860099,5.966628471,4.70986573,6.100706049,6.054646745
ENSMUSG00000026088.16,4.447185971,5.756059207,5.805879846,5.998366068,5.264672181,5.756502558,2.654936892,2.996113853
ENSMUSG00000026087.12,65.20451543,66.52676122,75.41400918,75.54545944,71.24856351,84.86480287,102.0738503,110.6065364
ENSMUSG00000058407.13,45.91249742,53.18820094,40.26658603,41.13973709,38.34436238,37.76614557,36.99965243,35.45401393
ENSMUSG00000026083.13,102.1600045,195.9273999,168.9323749,168.8596636,180.1395331,175.2244491,193.7539051,179.9540883
ENSMUSG00000026082.12,22.9249305,25.3487992,23.84780754,23.14463888,21.14643326,21.54327473,19.71431862,16.79072138
ENSMUSG00000103804.2,0.313182111,0.553467231,0.499430524,0.452706873,0.438722682,0.61053815,0.338928114,0.062419039
ENSMUSG00000037138.19,9.520736163,8.80012898,8.927320623,12.22308557,11.49453426,10.46636829,3.106841044,5.180780204
ENSMUSG00000085391.2,0.062636422,0.055346723,0,0,0,0.174439471,0.056488019,0.124838077
ENSMUSG00000085280.2,0.125272844,0.055346723,0.124857631,0,0.175489073,0,0.056488019,0
ENSMUSG00000087131.8,0.125272844,0,0.062428816,0.056588359,0,0.087219736,0.056488019,0
ENSMUSG00000102984.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000048814.12,9.270190475,7.305767455,7.304171419,7.413075046,6.668584762,6.803139387,6.270170106,6.429160976
ENSMUSG00000026080.14,1.127455598,1.605054971,1.311005126,1.641062415,1.316168045,1.308296036,0.960296323,0.312095193
ENSMUSG00000103647.2,0,0,0,0.056588359,0,0,0,0
ENSMUSG00000026078.11,54.99477863,53.46493456,41.32787589,47.47763331,43.6967791,49.62802963,45.86827141,41.8831749
ENSMUSG00000103046.2,3.194457528,1.881788587,1.748006835,2.093769288,3.509781454,2.703811808,0.677856228,0.499352309
ENSMUSG00000104188.2,0,0,0,0,0,0,0,0.062419039
ENSMUSG00000026077.16,19.35465444,18.09837847,14.17134113,19.69274898,12.37197962,15.08901428,0.960296323,2.059828274
ENSMUSG00000092553.2,0,0.110693446,0.249715262,0,0.087744536,0,0,0.062419039
ENSMUSG00000092563.2,0.313182111,0.276733616,0.312144078,0.169765077,0.087744536,0.174439471,0.112976038,0.124838077
ENSMUSG00000073702.12,46.72677091,35.42190281,35.52199604,36.72584507,28.60471885,36.02175086,21.35247117,21.78424447
ENSMUSG00000003134.11,26.30729729,24.68463852,20.03964979,19.5229839,15.53078293,14.74013534,10.45028351,8.05205598
ENSMUSG00000102607.2,0.187909266,0.055346723,0.062428816,0,0.087744536,0,0,0
ENSMUSG00000003135.16,34.45003217,29.66584361,27.21896358,27.61511926,27.02531719,25.29372336,20.44866287,23.21988236
ENSMUSG00000085894.2,0.939546332,0.830200847,1.810435651,0.848825387,0.526467218,0.872197357,0.395416133,0.561771347
ENSMUSG00000077704.3,0.062636422,0.166040169,0.374572893,0.169765077,0.087744536,0.087219736,0.056488019,0
ENSMUSG00000048234.14,15.09537773,14.44549474,10.8626139,11.71379034,11.23130065,11.42578538,5.196897746,8.863503482
ENSMUSG00000064936.3,0.062636422,0.110693446,0,0.056588359,0.087744536,0,0,0
ENSMUSG00000102471.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000050967.6,0.125272844,0.055346723,0,0,0,0.087219736,0.056488019,0
ENSMUSG00000057173.9,0.814273488,0.664160678,0.624288155,0.396118514,0.087744536,0.697757886,0.112976038,0
ENSMUSG00000091937.4,3.069184684,2.878029604,5.368878137,5.82860099,4.650460426,4.012107844,4.97094567,3.308209046
ENSMUSG00000101634.7,0,0,0.124857631,0,0,0,0.112976038,0.187257116
ENSMUSG00000026074.16,370.8702554,358.4253791,384.3117885,397.6463996,403.0106554,398.3325331,245.2144904,215.7826165
ENSMUSG00000026073.14,0.250545689,0,0,0,0,0,0,0.124838077
ENSMUSG00000097899.3,0,0.055346723,0.062428816,0.056588359,0.087744536,0.087219736,0,0.062419039
ENSMUSG00000026072.13,24.11502252,19.86947361,16.54363612,20.54157436,19.5670316,15.26345375,18.64104626,18.47603543
ENSMUSG00000103560.2,0.375818533,0.332080339,0.249715262,0.113176718,0.350978145,0.348878943,0.056488019,0.124838077
ENSMUSG00000070942.9,11.77564736,9.021515873,11.36204443,13.35485275,13.42491406,11.68744459,2.711424911,2.24708539
ENSMUSG00000103230.2,0.062636422,0.110693446,0.499430524,0.339530155,0.614211754,0.348878943,0.112976038,0
ENSMUSG00000026069.16,1.002182754,0.830200847,0.56185934,0.848825387,1.579401654,0.61053815,0.960296323,0.87386654
ENSMUSG00000026070.16,3.695548906,2.656642711,2.122579728,1.527885696,2.544591554,2.180493393,2.090056702,1.934990197
ENSMUSG00000026068.12,0.626364221,0.442773785,0.374572893,0.226353437,0.087744536,0.261659207,0.225952076,0.249676154
ENSMUSG00000026065.9,0.062636422,0.110693446,0,0.056588359,0.087744536,0,0.112976038,0
ENSMUSG00000102676.2,0,0.110693446,0.062428816,0.169765077,0.350978145,0,1.581664531,0.124838077
ENSMUSG00000026062.13,3.069184684,1.383668079,2.060150913,2.942594675,3.860759599,3.314349958,4.123625385,2.309504428
ENSMUSG00000103679.2,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000103270.2,0,0.110693446,0,0.056588359,0,0,0,0
ENSMUSG00000041945.13,0.689000643,0.553467231,0.187286447,0.67906031,0.087744536,0.784977622,0.395416133,0.187257116
ENSMUSG00000079588.4,138.9275843,134.935311,147.7065776,146.9033803,143.2868279,140.598214,224.6528515,233.1351092
ENSMUSG00000094136.3,0,0,0.062428816,0,0,0,0,0
ENSMUSG00000100178.2,0,0.055346723,0,0,0,0,0,0
ENSMUSG00000101877.2,0,0,0,0.056588359,0,0,0,0
ENSMUSG00000053640.3,0,0,0,0.113176718,0,0,0,0
ENSMUSG00000103106.2,0.062636422,0,0,0,0,0,0,0
ENSMUSG00000060424.15,0,0,0.062428816,0,0,0,0,0
ENSMUSG00000045515.5,0.313182111,0.166040169,0.062428816,0,0.087744536,0,0,0
ENSMUSG00000060679.15,83.24380501,81.19364285,83.96675691,84.54300854,83.26956499,78.06166348,85.07095658,86.63762558
ENSMUSG00000077448.3,0,0,0,0,0.087744536,0,0,0
ENSMUSG00000041907.10,0.313182111,0.442773785,0.374572893,0.339530155,0.350978145,0.436098679,0.225952076,0
ENSMUSG00000070939.10,40.14994658,37.41438485,33.58670276,36.72584507,35.62428176,33.57959826,33.89281139,27.90131026
ENSMUSG00000041878.4,0.250545689,0.276733616,0.187286447,0.056588359,0.087744536,0.174439471,0.169464057,0.249676154
ENSMUSG00000010290.8,30.44130115,28.50356242,26.03281608,26.48335207,28.69246338,26.25314046,36.15233214,38.88706105
ENSMUSG00000008136.15,537.2325926,486.9404702,738.7201743,552.13262,792.2454187,879.9599138,1791.969426,2008.394986
ENSMUSG00000094497.2,9.896554696,8.191315025,7.116884972,8.035546996,7.633774662,11.68744459,2.316008778,2.496761544
ENSMUSG00000099576.2,0.814273488,0.996241017,1.311005126,0.905413746,5.615650326,1.918834186,3.33279312,0.87386654
ENSMUSG00000099694.2,0.125272844,0,0,0,0,0,0.112976038,0
ENSMUSG00000101923.2,0,0,0.062428816,0,0,0,0,0
ENSMUSG00000066877.12,39.3356731,36.30745038,32.71269934,37.74443554,33.69390196,34.45179561,12.08843606,15.0429883
ENSMUSG00000103422.2,0.062636422,0.166040169,0,0.056588359,0.438722682,0.174439471,0.112976038,0
